App,Category,Rating,Reviews,Size_MB,Installs,Type,Price,Content_Rating
App_0,ART_AND_DESIGN,4.4,86729,66.9,100000,Paid,0.0,Everyone
App_1,MEDICAL,3.8,95580,65.4,50000,Free,0.0,Mature 17+
App_2,FAMILY,4.0,33032,10.0,1000000,Free,0.0,Everyone
App_3,EDUCATION,4.7,83383,89.8,100000,Paid,0.0,Everyone
App_4,EDUCATION,4.1,120839,3.9,10000,Free,0.0,Everyone
App_5,LIFESTYLE,4.5,46521,24.8,1000000,Free,0.0,Everyone
App_6,ART_AND_DESIGN,3.8,67653,15.2,1000,Free,2.23,Everyone
App_7,FAMILY,4.1,73508,77.9,1000000,Free,8.11,Everyone
App_8,GAME,3.8,101015,20.6,5000,Free,0.0,Teen
App_9,ART_AND_DESIGN,4.1,73284,91.2,10000,Paid,0.0,Teen
App_10,EDUCATION,4.5,147391,66.0,500000,Free,6.96,Everyone
App_11,LIFESTYLE,3.5,65505,4.6,500000,Free,0.0,Everyone
App_12,MEDICAL,4.4,86785,1.5,1000000,Free,0.0,Everyone
App_13,MEDICAL,4.3,75899,6.1,500000,Paid,0.0,Teen
App_14,MEDICAL,4.0,36591,61.0,100000,Free,0.0,Everyone
App_15,MEDICAL,3.6,137151,80.3,10000,Free,0.0,Teen
App_16,EDUCATION,4.2,47096,24.6,1000,Free,0.0,Everyone
App_17,ART_AND_DESIGN,4.0,59382,85.1,1000,Free,0.0,Everyone
App_18,MEDICAL,4.3,158552,6.7,10000,Free,0.0,Everyone
App_19,EDUCATION,4.2,189772,80.3,1000,Free,0.0,Everyone
App_20,EDUCATION,4.8,134171,92.9,50000,Free,0.0,Teen
App_21,TOOLS,4.1,183270,77.4,500000,Free,0.0,Everyone
App_22,GAME,3.8,170839,70.1,1000000,Free,0.0,Everyone
App_23,LIFESTYLE,4.3,96187,84.0,50000,Free,0.0,Mature 17+
App_24,MEDICAL,4.3,154060,5.0,1000000,Free,0.0,Mature 17+
App_25,FAMILY,4.7,65678,21.0,1000000,Free,0.0,Teen
App_26,TOOLS,4.5,92104,13.4,1000000,Free,0.0,Everyone
App_27,MEDICAL,4.3,107091,50.9,50000,Free,4.81,Everyone
App_28,EDUCATION,4.8,192098,74.8,10000,Free,0.0,Teen
App_29,EDUCATION,3.7,169713,63.4,1000000,Free,7.04,Everyone
App_30,EDUCATION,3.9,97855,85.3,5000,Free,0.0,Everyone
App_31,GAME,3.8,130520,16.4,10000,Free,0.0,Teen
App_32,ART_AND_DESIGN,4.0,40479,73.7,1000,Paid,0.0,Everyone
App_33,EDUCATION,3.6,160880,20.1,500000,Free,0.0,Everyone
App_34,LIFESTYLE,4.5,110612,27.8,100000,Free,0.0,Mature 17+
App_35,ART_AND_DESIGN,4.1,106549,71.3,1000,Free,0.0,Everyone
App_36,LIFESTYLE,3.6,153259,98.0,5000,Free,0.0,Everyone
App_37,MEDICAL,3.8,126587,61.5,50000,Free,0.0,Everyone
App_38,GAME,4.3,14502,6.4,50000,Free,0.0,Everyone
App_39,FAMILY,4.5,57638,62.0,500000,Free,0.0,Everyone
App_40,GAME,5.0,35352,5.2,5000,Free,0.0,Teen
