App,Category,Rating
App_0,ART_AND_DESIGN,4.4
App_1,MEDICAL,3.8
App_2,FAMILY,4.0
App_3,EDUCATION,4.7
App_4,EDUCATION,4.1
App_5,LIFESTYLE,4.5
App_6,ART_AND_DESIGN,3.8
App_7,FAMILY,4.1
App_8,GAME,3.8
App_9,ART_AND_DESIGN,4.1
App_10,EDUCATION,4.5
App_11,LIFESTYLE,3.5
App_12,MEDICAL,4.4
App_13,MEDICAL,4.3
App_14,MEDICAL,4.0
App_15,MEDICAL,3.6
App_16,EDUCATION,4.2
App_17,ART_AND_DESIGN,4.0
App_18,MEDICAL,4.3
App_19,EDUCATION,4.2
App_20,EDUCATION,4.8
App_21,TOOLS,4.1
App_22,GAME,3.8
App_23,LIFESTYLE,4.3
App_24,MEDICAL,4.3
App_25,FAMILY,4.7
App_26,TOOLS,4.5
App_27,MEDICAL,4.3
App_28,EDUCATION,4.8
App_29,EDUCATION,3.7
App_30,EDUCATION,3.9
App_31,GAME,3.8
App_32,ART_AND_DESIGN,4.0
App_33,EDUCATION,3.6
App_34,LIFESTYLE,4.5
App_35,ART_AND_DESIGN,4.1
App_36,LIFESTYLE,3.6
App_37,MEDICAL,3.8
App_38,GAME,4.3
App_39,FAMILY,4.5
App_40,GAME,5.0
App_41,MEDICAL,5.0
App_42,FAMILY,4.4
App_43,TOOLS,3.8
App_44,ART_AND_DESIGN,3.3
App_45,LIFESTYLE,4.3
App_46,EDUCATION,3.9
App_47,LIFESTYLE,4.0
App_48,FAMILY,4.0
App_49,MEDICAL,4.1
App_50,MEDICAL,4.6
App_51,GAME,4.3
App_52,TOOLS,4.1
App_53,EDUCATION,3.8
App_54,EDUCATION,3.5
App_55,ART_AND_DESIGN,4.0
App_56,EDUCATION,4.2
App_57,GAME,4.180612244897959
App_58,MEDICAL,4.3
App_59,FAMILY,4.6
App_60,LIFESTYLE,4.0
App_61,MEDICAL,3.7
App_62,TOOLS,3.8
App_63,LIFESTYLE,3.9
App_64,TOOLS,5.0
App_65,TOOLS,3.9
App_66,LIFESTYLE,4.5
App_67,TOOLS,3.8
App_68,ART_AND_DESIGN,4.6
App_69,EDUCATION,4.4
App_70,MEDICAL,4.1
App_71,GAME,4.2
App_72,EDUCATION,3.9
App_73,ART_AND_DESIGN,4.4
App_74,FAMILY,4.0
App_75,EDUCATION,3.7
App_76,TOOLS,3.7
App_77,GAME,4.3
App_78,EDUCATION,4.8
App_79,FAMILY,4.3
App_80,LIFESTYLE,4.2
App_81,EDUCATION,4.3
App_82,GAME,4.7
App_83,MEDICAL,4.3
App_84,FAMILY,4.0
App_85,FAMILY,4.6
App_86,ART_AND_DESIGN,4.4
App_87,TOOLS,4.8
App_88,MEDICAL,4.3
App_89,MEDICAL,3.7
App_90,EDUCATION,3.7
App_91,MEDICAL,4.9
App_92,MEDICAL,4.9
App_93,TOOLS,4.1
App_94,LIFESTYLE,4.0
