Date,Glucose
2018-01-01,148
2018-01-02,85
2018-01-03,183
2018-01-04,89
2018-01-05,137
2018-01-06,116
2018-01-07,78
2018-01-08,115
2018-01-09,197
2018-01-10,125
2018-01-11,110
2018-01-12,168
2018-01-13,139
2018-01-14,189
2018-01-15,166
2018-01-16,100
2018-01-17,118
2018-01-18,107
2018-01-19,103
2018-01-20,115
2018-01-21,126
2018-01-22,99
2018-01-23,196
2018-01-24,119
2018-01-25,143
2018-01-26,125
2018-01-27,147
2018-01-28,97
2018-01-29,145
2018-01-30,117
2018-01-31,109
2018-02-01,158
2018-02-02,88
2018-02-03,92
2018-02-04,122
2018-02-05,103
2018-02-06,138
2018-02-07,102
2018-02-08,90
2018-02-09,111
2018-02-10,180
2018-02-11,133
2018-02-12,106
2018-02-13,171
2018-02-14,159
2018-02-15,180
2018-02-16,146
2018-02-17,71
2018-02-18,103
2018-02-19,105
2018-02-20,103
2018-02-21,101
2018-02-22,88
2018-02-23,176
2018-02-24,150
2018-02-25,73
2018-02-26,187
2018-02-27,100
2018-02-28,146
2018-03-01,105
2018-03-02,84
2018-03-03,133
2018-03-04,44
2018-03-05,141
2018-03-06,114
2018-03-07,99
2018-03-08,109
2018-03-09,109
2018-03-10,95
2018-03-11,146
2018-03-12,100
2018-03-13,139
2018-03-14,126
2018-03-15,129
2018-03-16,79
2018-03-17,0
2018-03-18,62
2018-03-19,95
2018-03-20,131
2018-03-21,112
2018-03-22,113
2018-03-23,74
2018-03-24,83
2018-03-25,101
2018-03-26,137
2018-03-27,110
2018-03-28,106
2018-03-29,100
2018-03-30,136
2018-03-31,107
2018-04-01,80
2018-04-02,123
2018-04-03,81
2018-04-04,134
2018-04-05,142
2018-04-06,144
2018-04-07,92
2018-04-08,71
2018-04-09,93
2018-04-10,122
2018-04-11,163
2018-04-12,151
2018-04-13,125
2018-04-14,81
2018-04-15,85
2018-04-16,126
2018-04-17,96
2018-04-18,144
2018-04-19,83
2018-04-20,95
2018-04-21,171
2018-04-22,155
2018-04-23,89
2018-04-24,76
2018-04-25,160
2018-04-26,146
2018-04-27,124
2018-04-28,78
2018-04-29,97
2018-04-30,99
2018-05-01,162
2018-05-02,111
2018-05-03,107
2018-05-04,132
2018-05-05,113
2018-05-06,88
2018-05-07,120
2018-05-08,118
2018-05-09,117
2018-05-10,105
2018-05-11,173
2018-05-12,122
2018-05-13,170
2018-05-14,84
2018-05-15,96
2018-05-16,125
2018-05-17,100
2018-05-18,93
2018-05-19,129
2018-05-20,105
2018-05-21,128
2018-05-22,106
2018-05-23,108
2018-05-24,108
2018-05-25,154
2018-05-26,102
2018-05-27,57
2018-05-28,106
2018-05-29,147
2018-05-30,90
2018-05-31,136
2018-06-01,114
2018-06-02,156
2018-06-03,153
2018-06-04,188
2018-06-05,152
2018-06-06,99
2018-06-07,109
2018-06-08,88
2018-06-09,163
2018-06-10,151
2018-06-11,102
2018-06-12,114
2018-06-13,100
2018-06-14,131
2018-06-15,104
2018-06-16,148
2018-06-17,120
2018-06-18,110
2018-06-19,111
2018-06-20,102
2018-06-21,134
2018-06-22,87
2018-06-23,79
2018-06-24,75
2018-06-25,179
2018-06-26,85
2018-06-27,129
2018-06-28,143
2018-06-29,130
2018-06-30,87
2018-07-01,119
2018-07-02,0
2018-07-03,73
2018-07-04,141
2018-07-05,194
2018-07-06,181
2018-07-07,128
2018-07-08,109
2018-07-09,139
2018-07-10,111
2018-07-11,123
2018-07-12,159
2018-07-13,135
2018-07-14,85
2018-07-15,158
2018-07-16,105
2018-07-17,107
2018-07-18,109
2018-07-19,148
2018-07-20,113
2018-07-21,138
2018-07-22,108
2018-07-23,99
2018-07-24,103
2018-07-25,111
2018-07-26,196
2018-07-27,162
2018-07-28,96
2018-07-29,184
2018-07-30,81
2018-07-31,147
2018-08-01,179
2018-08-02,140
2018-08-03,112
2018-08-04,151
2018-08-05,109
2018-08-06,125
2018-08-07,85
2018-08-08,112
2018-08-09,177
2018-08-10,158
2018-08-11,119
2018-08-12,142
2018-08-13,100
2018-08-14,87
2018-08-15,101
2018-08-16,162
2018-08-17,197
2018-08-18,117
2018-08-19,142
2018-08-20,134
2018-08-21,79
2018-08-22,122
2018-08-23,74
2018-08-24,171
2018-08-25,181
2018-08-26,179
2018-08-27,164
2018-08-28,104
2018-08-29,91
2018-08-30,91
2018-08-31,139
2018-09-01,119
2018-09-02,146
2018-09-03,184
2018-09-04,122
2018-09-05,165
2018-09-06,124
2018-09-07,111
2018-09-08,106
2018-09-09,129
2018-09-10,90
2018-09-11,86
2018-09-12,92
2018-09-13,113
2018-09-14,111
2018-09-15,114
2018-09-16,193
2018-09-17,155
2018-09-18,191
2018-09-19,141
2018-09-20,95
2018-09-21,142
2018-09-22,123
2018-09-23,96
2018-09-24,138
2018-09-25,128
2018-09-26,102
2018-09-27,146
2018-09-28,101
2018-09-29,108
2018-09-30,122
2018-10-01,71
2018-10-02,106
2018-10-03,100
2018-10-04,106
2018-10-05,104
2018-10-06,114
2018-10-07,108
2018-10-08,146
2018-10-09,129
2018-10-10,133
2018-10-11,161
2018-10-12,108
2018-10-13,136
2018-10-14,155
2018-10-15,119
2018-10-16,96
2018-10-17,108
2018-10-18,78
2018-10-19,107
2018-10-20,128
2018-10-21,128
2018-10-22,161
2018-10-23,151
2018-10-24,146
2018-10-25,126
2018-10-26,100
2018-10-27,112
2018-10-28,167
2018-10-29,144
2018-10-30,77
2018-10-31,115
2018-11-01,150
2018-11-02,120
2018-11-03,161
2018-11-04,137
2018-11-05,128
2018-11-06,124
2018-11-07,80
2018-11-08,106
2018-11-09,155
2018-11-10,113
2018-11-11,109
2018-11-12,112
2018-11-13,99
2018-11-14,182
2018-11-15,115
2018-11-16,194
2018-11-17,129
2018-11-18,112
2018-11-19,124
2018-11-20,152
2018-11-21,112
2018-11-22,157
2018-11-23,122
2018-11-24,179
2018-11-25,102
2018-11-26,105
2018-11-27,118
2018-11-28,87
2018-11-29,180
2018-11-30,106
2018-12-01,95
2018-12-02,165
2018-12-03,117
2018-12-04,115
2018-12-05,152
2018-12-06,178
2018-12-07,130
2018-12-08,95
2018-12-09,0
2018-12-10,122
2018-12-11,95
2018-12-12,126
2018-12-13,139
2018-12-14,116
2018-12-15,99
2018-12-16,0
2018-12-17,92
2018-12-18,137
2018-12-19,61
2018-12-20,90
2018-12-21,90
2018-12-22,165
2018-12-23,125
2018-12-24,129
2018-12-25,88
2018-12-26,196
2018-12-27,189
2018-12-28,158
2018-12-29,103
2018-12-30,146
2018-12-31,147
2019-01-01,99
2019-01-02,124
2019-01-03,101
2019-01-04,81
2019-01-05,133
2019-01-06,173
2019-01-07,118
2019-01-08,84
2019-01-09,105
2019-01-10,122
2019-01-11,140
2019-01-12,98
2019-01-13,87
2019-01-14,156
2019-01-15,93
2019-01-16,107
2019-01-17,105
2019-01-18,109
2019-01-19,90
2019-01-20,125
2019-01-21,119
2019-01-22,116
2019-01-23,105
2019-01-24,144
2019-01-25,100
2019-01-26,100
2019-01-27,166
